week,open,high,low,close,source_rows,bad,first_date,last_date,valid_hlc,valid_ohlc,segment
2020-02-07,8982.75,9471,8975,9400.5,6825,0,2020-02-02T23:00:00Z,2020-02-07T21:59:00Z,True,True,fixed
2020-02-14,9401.5,9659.25,9330.75,9630.25,6825,0,2020-02-09T23:00:00Z,2020-02-14T21:59:00Z,True,True,fixed
2020-02-21,9635,9763,9411.5,9455,6599,0,2020-02-16T23:00:00Z,2020-02-21T21:59:00Z,True,True,fixed
2020-02-28,9355.25,9365,8126.25,8548,6825,0,2020-02-23T23:00:00Z,2020-02-28T21:59:00Z,True,True,fixed
2020-03-06,8349.25,9002.5,8224.25,8501.75,6825,0,2020-03-01T23:00:00Z,2020-03-06T21:59:00Z,True,True,fixed
2020-03-13,8369,8378.75,6942.5,7823,6461,0,2020-03-08T22:00:00Z,2020-03-13T20:59:00Z,True,True,fixed
2020-03-20,7903,7905.25,6810,6920.25,5311,0,2020-03-15T22:00:00Z,2020-03-20T20:59:00Z,False,False,fixed
2020-03-27,6798,7893.5,6628.75,7561,6754,0,2020-03-22T22:00:00Z,2020-03-27T20:59:00Z,True,True,fixed
2020-04-03,7395.75,7995,7365,7522,6828,0,2020-03-29T22:00:00Z,2020-04-03T20:59:00Z,True,True,fixed
2020-04-10,7535.75,8326.25,7535.5,8238.75,5460,0,2020-04-05T22:00:00Z,2020-04-09T20:59:00Z,False,False,fixed
2020-04-17,8296,8966.75,8073.25,8812,6825,0,2020-04-12T22:00:00Z,2020-04-17T20:59:00Z,True,True,fixed
2020-04-24,8799.5,8846,8342,8763.75,6825,0,2020-04-19T22:00:00Z,2020-04-24T20:59:00Z,True,True,fixed
2020-05-01,8766,9144.75,8654.5,8702,6825,0,2020-04-26T22:00:00Z,2020-05-01T20:59:00Z,True,True,fixed
2020-05-08,8624,9238,8556.25,9222.5,6825,0,2020-05-03T22:00:00Z,2020-05-08T20:59:00Z,True,True,fixed
2020-05-15,9194.75,9345.5,8847,9117.5,6825,0,2020-05-10T22:00:00Z,2020-05-15T20:59:00Z,True,True,fixed
2020-05-22,9135,9510.75,9110.25,9421.5,6825,0,2020-05-17T22:00:00Z,2020-05-22T20:59:00Z,True,True,fixed
2020-05-29,9396.25,9604,9172.5,9586.75,6599,0,2020-05-24T22:00:00Z,2020-05-29T20:59:00Z,True,True,fixed
2020-06-05,9513,9846.25,9450.25,9807.75,6825,0,2020-05-31T22:00:00Z,2020-06-05T20:59:00Z,True,True,fixed
2020-06-12,9819,10155.5,9494.75,9645,6825,0,2020-06-07T22:00:00Z,2020-06-12T20:59:00Z,True,True,fixed
2020-06-19,9536.75,10112.5,9381.75,9925,6824,0,2020-06-14T22:00:00Z,2020-06-19T20:59:00Z,True,True,fixed
2020-06-26,9868,10296.25,9824.25,9844.75,6825,0,2020-06-21T22:00:00Z,2020-06-26T20:59:00Z,True,True,fixed
2020-07-03,9785.5,10422.25,9728.75,10326,6481,0,2020-06-28T22:00:00Z,2020-07-03T16:59:00Z,True,True,fixed
2020-07-10,10347.25,10847.5,10341.5,10843.75,6825,0,2020-07-05T22:00:00Z,2020-07-10T20:59:00Z,True,True,fixed
2020-07-17,10848.25,11058.5,10358.75,10622.5,6825,0,2020-07-12T22:00:00Z,2020-07-17T20:59:00Z,True,True,fixed
2020-07-24,10621.25,11058,10301,10460.75,6825,0,2020-07-19T22:00:00Z,2020-07-24T20:59:00Z,True,True,fixed
2020-07-31,10490,10939,10401,10914.25,6825,0,2020-07-26T22:00:00Z,2020-07-31T20:59:00Z,True,True,fixed
2020-08-07,10933.25,11283.25,10876.25,11131.5,6822,0,2020-08-02T22:00:00Z,2020-08-07T20:59:00Z,True,True,fixed
2020-08-14,11140.25,11266,10845.5,11147.25,6825,0,2020-08-09T22:00:00Z,2020-08-14T20:59:00Z,True,True,fixed
2020-08-21,11145,11573.5,11142.25,11561.75,6823,0,2020-08-16T22:00:00Z,2020-08-21T20:59:00Z,True,True,fixed
