asset,rule,direction,signal,entry,exit,entry_open,exit_close,gross,net10,net25
SP500,sweep_1,-1,1992-01-10,1992-01-17,1992-02-07,415.04998779296875,411.08999633789062,0.0095409988472362484,0.0085409988472362475,0.0070409988472362479
SP500,sweep_1,1,1992-02-07,1992-02-14,1992-03-06,411.07000732421875,404.44000244140625,-0.016128651481943979,-0.017128651481943979,-0.018628651481943977
SP500,sweep_1,1,1992-03-13,1992-03-20,1992-04-10,405.85000610351562,404.29000854492188,-0.0038437785761566978,-0.0048437785761566978,-0.0063437785761566983
SP500,sweep_1,1,1992-05-01,1992-05-08,1992-05-29,412.54000854492188,415.35000610351562,0.0068114546477684446,0.0058114546477684445,0.0043114546477684441
SP500,sweep_1,-1,1992-05-29,1992-06-05,1992-06-26,415.35000610351562,403.45001220703125,0.028650520576900096,0.027650520576900095,0.026150520576900097
SP500,sweep_1,1,1992-06-26,1992-07-03,1992-07-24,403.47000122070312,411.60000610351562,0.020150209081753578,0.019150209081753578,0.01765020908175358
SP500,sweep_1,-1,1992-08-07,1992-08-14,1992-09-04,418.8699951171875,417.07998657226562,0.0042734226986611556,0.0032734226986611556,0.0017734226986611556
SP500,sweep_1,-1,1992-09-11,1992-09-18,1992-10-09,419.64999389648438,402.66000366210938,0.040486096703163388,0.039486096703163387,0.037986096703163386
SP500,sweep_1,-1,1992-11-06,1992-11-13,1992-12-04,417.57998657226562,432.05999755859375,-0.034676017653978874,-0.035676017653978875,-0.037176017653978877
SP500,sweep_1,-1,1992-12-25,1993-01-01,1993-01-22,439.76998901367188,436.1099853515625,0.0083225407680004304,0.0073225407680004304,0.0058225407680004299
SP500,sweep_1,-1,1993-02-12,1993-02-19,1993-03-12,444.52999877929688,449.82998657226562,-0.011922677451516872,-0.012922677451516873,-0.014422677451516873
SP500,sweep_1,-1,1993-03-12,1993-03-19,1993-04-09,449.82998657226562,441.83999633789062,0.017762244565461827,0.016762244565461826,0.015262244565461826
SP500,sweep_1,1,1993-04-09,1993-04-16,1993-05-07,441.83999633789062,442.30999755859375,0.0010637362497705194,6.3736249770519372e-05,-0.0014362637502294807
SP500,sweep_1,1,1993-05-14,1993-05-21,1993-06-11,439.55999755859375,447.260009765625,0.017517545385837385,0.016517545385837384,0.015017545385837385
SP500,sweep_1,1,1993-06-25,1993-07-02,1993-07-23,447.60000610351562,447.10000610351562,-0.0011170687962063219,-0.002117068796206322,-0.003617068796206322
SP500,sweep_1,1,1993-07-23,1993-07-30,1993-08-20,447.05999755859375,456.16000366210938,0.02035522335527884,0.019355223355278839,0.017855223355278841
SP500,sweep_1,-1,1993-09-03,1993-09-10,1993-10-01,461.33999633789062,461.27999877929688,0.00013005063309057263,-0.00086994936690942739,-0.0023699493669094274
SP500,sweep_1,1,1993-10-29,1993-11-05,1993-11-26,467.82998657226562,463.05999755859375,-0.010195988180708548,-0.011195988180708549,-0.012695988180708549
SP500,sweep_1,1,1993-11-26,1993-12-03,1993-12-24,463.05999755859375,467.3800048828125,0.0093292604565180515,0.0083292604565180506,0.006829260456518051
SP500,sweep_1,-1,1993-12-31,1994-01-07,1994-01-28,466.510009765625,478.70001220703125,-0.02613020553949208,-0.02713020553949208,-0.028630205539492078
SP500,sweep_1,1,1994-02-11,1994-02-18,1994-03-11,470.17999267578125,466.44000244140625,-0.0079543797963218532,-0.0089543797963218541,-0.010454379796321854
SP500,sweep_1,1,1994-04-08,1994-04-15,1994-05-06,447.1199951171875,447.82000732421875,0.0015656025556356479,0.00056560255563564785,-0.00093439744436435218
SP500,sweep_1,-1,1994-06-10,1994-06-17,1994-07-08,458.67001342773438,449.54998779296875,0.019883631734740614,0.018883631734740614,0.017383631734740616
SP500,sweep_1,-1,1994-07-22,1994-07-29,1994-08-19,453.10000610351562,463.67999267578125,-0.023350223857310004,-0.024350223857310005,-0.025850223857310003
SP500,sweep_1,-1,1994-09-02,1994-09-09,1994-09-30,471,462.70999145507812,0.017600867398984921,0.01660086739898492,0.01510086739898492
SP500,sweep_1,-1,1994-10-21,1994-10-28,1994-11-18,464.8900146484375,461.47000122070312,0.0073566076275496384,0.0063566076275496384,0.0048566076275496379
SP500,sweep_1,1,1994-11-18,1994-11-25,1994-12-16,461.69000244140625,458.79998779296875,-0.0062596431223443938,-0.0072596431223443938,-0.0087596431223443943
SP500,sweep_1,-1,1994-12-30,1995-01-06,1995-01-27,459.20999145507812,470.3900146484375,-0.024346210669183632,-0.025346210669183633,-0.026846210669183631
SP500,sweep_1,-1,1995-02-17,1995-02-24,1995-03-17,481.95001220703125,495.51998901367188,-0.028156398927138948,-0.029156398927138949,-0.030656398927138947
SP500,sweep_1,-1,1995-03-31,1995-04-07,1995-04-28,500.70001220703125,514.71002197265625,-0.027980845664194121,-0.028980845664194121,-0.030480845664194119
SP500,sweep_1,-1,1995-05-26,1995-06-02,1995-06-23,523.6500244140625,549.71002197265625,-0.049766058137309388,-0.050766058137309389,-0.05226605813730939
SP500,sweep_1,-1,1995-07-28,1995-08-04,1995-08-25,562.92999267578125,560.0999755859375,0.0050272984681306587,0.0040272984681306587,0.0025272984681306587
SP500,sweep_1,-1,1995-08-25,1995-09-01,1995-09-22,560.0999755859375,581.72998046875,-0.038618114311082863,-0.039618114311082864,-0.041118114311082865
SP500,sweep_1,-1,1995-09-22,1995-09-29,1995-10-20,581.72998046875,587.46002197265625,-0.0098500020564336044,-0.010850002056433605,-0.012350002056433605
SP500,sweep_1,-1,1995-11-24,1995-12-01,1995-12-22,599.969970703125,611.95001220703125,-0.019967735201591008,-0.020967735201591009,-0.022467735201591007
SP500,sweep_1,-1,1996-02-16,1996-02-23,1996-03-15,647.97998046875,641.42999267578125,0.010108318143147721,0.00910831814314772,0.0076083181431477204
SP500,sweep_1,1,1996-05-10,1996-05-17,1996-06-07,652.09002685546875,673.30999755859375,0.032541474074450516,0.031541474074450515,0.030041474074450517
SP500,sweep_1,1,1996-06-21,1996-06-28,1996-07-19,666.84002685546875,638.72998046875,-0.04215410781394402,-0.04315410781394402,-0.044654107813944022
SP500,sweep_1,-1,1996-08-09,1996-08-16,1996-09-06,662.0999755859375,655.67999267578125,0.0096963950262568543,0.0086963950262568535,0.0071963950262568539
SP500,sweep_1,1,1996-09-06,1996-09-13,1996-10-04,655.67999267578125,701.46002197265625,0.069820689678283587,0.068820689678283586,0.067320689678283585
SP500,sweep_1,-1,1996-10-11,1996-10-18,1996-11-08,700.65997314453125,730.82000732421875,-0.043045179310487125,-0.044045179310487126,-0.045545179310487127
SP500,sweep_1,1,1996-12-13,1996-12-20,1997-01-10,728.6400146484375,759.5,0.042352855636746956,0.041352855636746955,0.039852855636746953
SP500,sweep_1,-1,1997-01-24,1997-01-31,1997-02-21,770.52001953125,801.77001953125,-0.040557025395668633,-0.041557025395668634,-0.043057025395668636
SP500,sweep_1,-1,1997-02-21,1997-02-28,1997-03-21,801.77001953125,784.0999755859375,0.022038793562826342,0.021038793562826341,0.019538793562826343
SP500,sweep_1,1,1997-04-18,1997-04-25,1997-05-16,766.34002685546875,829.75,0.082743913827288962,0.081743913827288961,0.08024391382728896
SP500,sweep_1,-1,1997-05-16,1997-05-23,1997-06-13,829.75,893.27001953125,-0.076553202206990134,-0.077553202206990135,-0.079053202206990136
SP500,sweep_1,-1,1997-07-11,1997-07-18,1997-08-08,916.67999267578125,933.53997802734375,-0.018392443913113343,-0.019392443913113344,-0.020892443913113342
SP500,sweep_1,1,1997-08-22,1997-08-29,1997-09-19,923.54998779296875,950.510009765625,0.02919173009474374,0.028191730094743739,0.026691730094743741
SP500,sweep_1,-1,1997-09-26,1997-10-03,1997-10-24,945.219970703125,941.6400146484375,0.0037874316726765889,0.0027874316726765888,0.0012874316726765888
SP500,sweep_1,-1,1997-11-07,1997-11-14,1997-12-05,927.510009765625,983.78997802734375,-0.060678556208725309,-0.06167855620872531,-0.063178556208725312
SP500,sweep_1,1,1998-01-16,1998-01-23,1998-02-13,961.510009765625,1020.0900268554688,0.060925020535275598,0.059925020535275597,0.058425020535275596
SP500,sweep_1,-1,1998-03-27,1998-04-03,1998-04-24,1095.43994140625,1107.9000244140625,-0.011374501272810145,-0.012374501272810146,-0.013874501272810145
SP500,sweep_1,-1,1998-04-24,1998-05-01,1998-05-22,1107.9000244140625,1110.469970703125,-0.0023196554133317893,-0.0033196554133317893,-0.0048196554133317897
SP500,sweep_1,-1,1998-06-12,1998-06-19,1998-07-10,1098.8399658203125,1164.3299560546875,-0.059599206682917627,-0.060599206682917628,-0.062099206682917629
SP500,sweep_1,1,1998-08-14,1998-08-21,1998-09-11,1062.75,1009.0599975585938,-0.050519879973094595,-0.051519879973094596,-0.053019879973094597
SP500,sweep_1,-1,1998-09-18,1998-09-25,1998-10-16,1020.0900268554688,1056.4200439453125,-0.03561452041819746,-0.03661452041819746,-0.038114520418197462
SP500,sweep_1,1,1998-12-04,1998-12-11,1999-01-01,1176.739990234375,1229.22998046875,0.044606277231999503,0.043606277231999502,0.0421062772319995
SP500,sweep_1,-1,1999-01-01,1999-01-08,1999-01-29,1229.22998046875,1279.6400146484375,-0.041009440853748469,-0.04200944085374847,-0.043509440853748471
SP500,sweep_1,-1,1999-02-05,1999-02-12,1999-03-05,1239.4000244140625,1275.469970703125,-0.029102747763874559,-0.03010274776387456,-0.031602747763874561
SP500,sweep_1,1,1999-03-05,1999-03-12,1999-04-02,1275.469970703125,1293.719970703125,0.014308451331033201,0.0133084513310332,0.0118084513310332
SP500,sweep_1,-1,1999-04-02,1999-04-09,1999-04-30,1293.719970703125,1335.1800537109375,-0.03204718482105462,-0.03304718482105462,-0.034547184821054622
SP500,sweep_1,-1,1999-04-30,1999-05-07,1999-05-28,1335.1800537109375,1301.8399658203125,0.024970480796175143,0.023970480796175142,0.022470480796175144
SP500,sweep_1,-1,1999-06-11,1999-06-18,1999-07-09,1293.6400146484375,1403.280029296875,-0.084753110144195398,-0.085753110144195399,-0.0872531101441954
SP500,sweep_1,1,1999-08-13,1999-08-20,1999-09-10,1327.6800537109375,1351.6600341796875,0.018061565662393253,0.017061565662393252,0.015561565662393253
SP500,sweep_1,-1,1999-09-10,1999-09-17,1999-10-08,1351.6600341796875,1336.02001953125,0.011570967738148252,0.010570967738148251,0.0090709677381482518
SP500,sweep_1,1,1999-10-22,1999-10-29,1999-11-19,1301.6500244140625,1422,0.092459550054641682,0.091459550054641681,0.089959550054641679
SP500,sweep_1,1,2000-02-04,2000-02-11,2000-03-03,1424.3699951171875,1409.1700439453125,-0.010671350298013249,-0.01167135029801325,-0.01317135029801325
SP500,sweep_1,-1,2000-03-10,2000-03-17,2000-04-07,1395.0699462890625,1516.3499755859375,-0.08693473013269637,-0.08793473013269637,-0.089434730132696372
SP500,sweep_1,1,2000-04-07,2000-04-14,2000-05-05,1516.3499755859375,1432.6300048828125,-0.055211509249884383,-0.056211509249884384,-0.057711509249884385
SP500,sweep_1,1,2000-05-05,2000-05-12,2000-06-02,1432.6300048828125,1477.260009765625,0.031152499061656291,0.03015249906165629,0.028652499061656293
