asset,rule,direction,era,n,mean,excess
STORA,sweep_fvg,1,2000,13,-0.018417503839628216,-0.015426478877194953
STORA,sweep_fvg,1,2010,10,0.0055925107039652474,-0.0053173949317775844
STORA,sweep_fvg,1,2020,8,-0.040788019925744184,-0.042093916837949379
STORA_ADJ,sweep_1,1,2000,77,-0.011969854101555393,-0.012031661059472083
STORA_ADJ,sweep_1,1,2010,75,0.012222736376442474,-0.0020475758187079016
STORA_ADJ,sweep_1,1,2020,45,-0.0054425071723008195,-0.0088481075352206482
STORA_ADJ,sweep_1,-1,2000,76,0.00071237162689561403,0.00077417858481230203
STORA_ADJ,sweep_1,-1,2010,68,-0.013070972458575188,0.0011993397365751852
STORA_ADJ,sweep_1,-1,2020,54,-0.0088758896381243724,-0.0054702892752045446
STORA_ADJ,fvg_disp,1,2000,44,-0.013458152646295263,-0.013519959604211951
STORA_ADJ,fvg_disp,1,2010,59,0.012612441817099298,-0.0016578703780510777
STORA_ADJ,fvg_disp,1,2020,30,0.0076710395482459913,0.0042654391853261609
STORA_ADJ,fvg_disp,-1,2000,37,-0.0084484698443198902,-0.0083866628864032022
STORA_ADJ,fvg_disp,-1,2010,45,-0.018783750199546798,-0.0045134380043964223
STORA_ADJ,fvg_disp,-1,2020,29,-0.03818238346736999,-0.034776783104450162
STORA_ADJ,sweep_fvg,-1,2000,16,0.0065929690047759684,0.0066547759626926564
STORA_ADJ,sweep_fvg,-1,2010,15,-0.036402696227039025,-0.022132384031888656
STORA_ADJ,sweep_fvg,-1,2020,7,-0.043866096229383311,-0.04046049586646349
STORA_ADJ,sweep_fvg,1,2000,15,-0.010581175475784773,-0.010642982433701461
STORA_ADJ,sweep_fvg,1,2010,10,0.0055924848106665096,-0.008677827384483864
STORA_ADJ,sweep_fvg,1,2020,9,-0.034138742468425326,-0.037544342831345147
MPS,sweep_1,1,1990,10,-0.030428378885938957,-0.009453507572992877
MPS,sweep_1,1,2000,87,-0.004887989081403343,-0.0009336536024917866
MPS,sweep_1,1,2010,76,-0.0066919654059109952,0.028208578285423121
MPS,sweep_1,1,2020,43,-0.0044377475920252298,-0.0059750348428377663
MPS,sweep_1,-1,1990,3,0.051612491191517527,0.030637619878571446
MPS,sweep_1,-1,2000,64,0.019449428688477516,0.015495093209565956
MPS,sweep_1,-1,2010,74,0.073074734962182503,0.038174191270848368
MPS,sweep_1,-1,2020,57,-0.013940403340486072,-0.012403116089673531
