i,date,rule,direction,reference,asset,signal_close,return_1,return_4,return_13,lower,upper,ce,width_pct,bridge
1816,1996-11-01,breakout_1,1,28.75,ED,29.125,0.021459227467811148,-0.0042918454935622075,0.064377682403433445,,,,,
1816,1996-11-01,breakout_13,1,29,ED,29.125,0.021459227467811148,-0.0042918454935622075,0.064377682403433445,,,,,
1816,1996-11-01,breakout_4,1,29,ED,29.125,0.021459227467811148,-0.0042918454935622075,0.064377682403433445,,,,,
1817,1996-11-08,breakout_1,1,29.375,ED,29.75,0,-0.033613445378151252,0.050420168067226934,,,,,
1817,1996-11-08,breakout_13,1,29.375,ED,29.75,0,-0.033613445378151252,0.050420168067226934,,,,,
1817,1996-11-08,breakout_4,1,29.375,ED,29.75,0,-0.033613445378151252,0.050420168067226934,,,,,
1817,1996-11-08,fvg_raw,1,,ED,29.75,0,-0.033613445378151252,0.050420168067226934,28.75,29,28.875,0.0084033613445378148,1
1818,1996-11-15,fvg_disp,1,,ED,29.75,-0.0042016806722688926,-0.025210084033613467,0.046218487394958041,29.375,29.5,29.4375,0.0042016806722689074,1
1818,1996-11-15,fvg_raw,1,,ED,29.75,-0.0042016806722688926,-0.025210084033613467,0.046218487394958041,29.375,29.5,29.4375,0.0042016806722689074,1
1820,1996-11-29,breakout_1,-1,29.5,ED,29,0.0086206896551723755,-0.017241379310344751,-0.064655172413793149,,,,,
1821,1996-12-06,breakout_1,-1,29,ED,28.75,-0.0086956521739129933,-0.0086956521739129933,-0.065217391304347894,,,,,
1821,1996-12-06,breakout_4,-1,29,ED,28.75,-0.0086956521739129933,-0.0086956521739129933,-0.065217391304347894,,,,,
1821,1996-12-06,fvg_raw,-1,,ED,28.75,-0.0086956521739129933,-0.0086956521739129933,-0.065217391304347894,29.375,29.5,29.4375,0.0043478260869565218,1
1822,1996-12-13,sweep_1,1,28.5,ED,29,0.012931034482758674,0.034482758620689724,0.064655172413793149,,,,,
1822,1996-12-13,sweep_4,1,28.5,ED,29,0.012931034482758674,0.034482758620689724,0.064655172413793149,,,,,
1823,1996-12-20,breakout_1,1,29,ED,29.375,0.0042553191489360653,0.055319148936170182,0.025531914893617058,,,,,
1824,1996-12-27,fvg_raw,1,,ED,29.5,-0.016949152542372836,0.038135593220338881,0.012711864406779627,29,29.125,29.0625,0.0042372881355932203,1
1825,1997-01-03,breakout_1,-1,29.125,ED,29,-0.034482758620689724,-0.068965517241379226,-0,,,,,
1826,1997-01-10,breakout_1,1,29.625,ED,30,0.033333333333333437,0.041666666666666741,-0.0625,,,,,
1826,1997-01-10,breakout_4,1,29.75,ED,30,0.033333333333333437,0.041666666666666741,-0.0625,,,,,
1827,1997-01-17,breakout_1,1,30.25,ED,31,-0.012096774193548376,0.0040322580645162365,-0.092741935483870996,,,,,
1827,1997-01-17,breakout_13,1,30.875,ED,31,-0.012096774193548376,0.0040322580645162365,-0.092741935483870996,,,,,
1827,1997-01-17,breakout_4,1,30.25,ED,31,-0.012096774193548376,0.0040322580645162365,-0.092741935483870996,,,,,
1827,1997-01-17,fvg_disp,1,,ED,31,-0.012096774193548376,0.0040322580645162365,-0.092741935483870996,29.625,29.875,29.75,0.0080645161290322578,1
1827,1997-01-17,fvg_raw,1,,ED,31,-0.012096774193548376,0.0040322580645162365,-0.092741935483870996,29.625,29.875,29.75,0.0080645161290322578,1
1828,1997-01-24,fvg_disp,1,,ED,30.625,0.012244897959183598,0.02857142857142847,-0.11020408163265305,30.25,30.625,30.4375,0.012244897959183673,1
1828,1997-01-24,fvg_raw,1,,ED,30.625,0.012244897959183598,0.02857142857142847,-0.11020408163265305,30.25,30.625,30.4375,0.012244897959183673,1
1828,1997-01-24,sweep_1,-1,31,ED,30.625,-0.012244897959183598,-0.02857142857142847,0.11020408163265305,,,,,
1828,1997-01-24,sweep_13,-1,31,ED,30.625,-0.012244897959183598,-0.02857142857142847,0.11020408163265305,,,,,
1828,1997-01-24,sweep_4,-1,31,ED,30.625,-0.012244897959183598,-0.02857142857142847,0.11020408163265305,,,,,
1831,1997-02-14,sweep_1,-1,31.375,ED,31.125,-0.012048192771084265,0.0080321285140562138,0.068273092369477872,,,,,
1832,1997-02-21,sweep_1,1,30.875,ED,31.5,-0.019841269841269882,-0.043650793650793607,-0.079365079365079416,,,,,
1835,1997-03-14,sweep_1,1,30.625,ED,30.875,-0.024291497975708509,-0.089068825910931126,-0.01619433198380571,,,,,
1835,1997-03-14,sweep_4,1,30.375,ED,30.875,-0.024291497975708509,-0.089068825910931126,-0.01619433198380571,,,,,
1838,1997-04-04,breakout_1,-1,29.75,ED,29,0.030172413793103425,0.0086206896551723755,-0.017241379310344751,,,,,
1838,1997-04-04,breakout_4,-1,29.75,ED,29,0.030172413793103425,0.0086206896551723755,-0.017241379310344751,,,,,
1839,1997-04-11,breakout_1,-1,29,ED,28.125,-0,-0.048888888888888982,-0.07333333333333325,,,,,
1839,1997-04-11,breakout_13,-1,28.75,ED,28.125,-0,-0.048888888888888982,-0.07333333333333325,,,,,
1839,1997-04-11,breakout_4,-1,29,ED,28.125,-0,-0.048888888888888982,-0.07333333333333325,,,,,
1839,1997-04-11,fvg_disp,-1,,ED,28.125,-0,-0.048888888888888982,-0.07333333333333325,29.125,29.75,29.4375,0.022222222222222223,1
1839,1997-04-11,fvg_raw,-1,,ED,28.125,-0,-0.048888888888888982,-0.07333333333333325,29.125,29.75,29.4375,0.022222222222222223,1
1840,1997-04-18,fvg_disp,-1,,ED,28.125,0.031111111111111089,-0.031111111111111089,-0.08666666666666667,28.75,29,28.875,0.0088888888888888889,1
1840,1997-04-18,fvg_raw,-1,,ED,28.125,0.031111111111111089,-0.031111111111111089,-0.08666666666666667,28.75,29,28.875,0.0088888888888888889,1
1841,1997-04-25,breakout_1,-1,27.875,ED,27.25,-0.05504587155963292,-0.064220183486238591,-0.12385321100917435,,,,,
1841,1997-04-25,breakout_13,-1,27.875,ED,27.25,-0.05504587155963292,-0.064220183486238591,-0.12385321100917435,,,,,
1841,1997-04-25,breakout_4,-1,27.875,ED,27.25,-0.05504587155963292,-0.064220183486238591,-0.12385321100917435,,,,,
1842,1997-05-02,sweep_13,1,27.125,ED,28.75,0.026086956521739202,0.01304347826086949,0.089130434782608736,,,,,
1842,1997-05-02,sweep_4,1,27.125,ED,28.75,0.026086956521739202,0.01304347826086949,0.089130434782608736,,,,,
1843,1997-05-09,breakout_1,1,28.75,ED,29.5,-0.016949152542372836,0.004237288135593209,0.057203389830508433,,,,,
1843,1997-05-09,breakout_4,1,29.125,ED,29.5,-0.016949152542372836,0.004237288135593209,0.057203389830508433,,,,,
1843,1997-05-09,fvg_disp,1,,ED,29.5,-0.016949152542372836,0.004237288135593209,0.057203389830508433,28.25,28.75,28.5,0.016949152542372881,1
1843,1997-05-09,fvg_raw,1,,ED,29.5,-0.016949152542372836,0.004237288135593209,0.057203389830508433,28.25,28.75,28.5,0.016949152542372881,1
1844,1997-05-16,sweep_1,1,28.75,ED,29,0,0.047413793103448176,0.068965517241379226,,,,,
1845,1997-05-23,sweep_1,-1,29.25,ED,29,-0.0043103448275862988,-0.025862068965517349,-0.073275862068965525,,,,,
1846,1997-05-30,sweep_1,1,28.625,ED,29.125,0.01716738197424883,0,0.051502145922746712,,,,,
1847,1997-06-06,breakout_1,1,29.125,ED,29.625,0.025316455696202445,-0.0042194092827003704,0.073839662447257481,,,,,
1848,1997-06-13,breakout_1,1,29.75,ED,30.375,-0.020576131687242816,-0.0061728395061728669,0.090534979423868345,,,,,
1848,1997-06-13,breakout_4,1,29.75,ED,30.375,-0.020576131687242816,-0.0061728395061728669,0.090534979423868345,,,,,
1849,1997-06-20,sweep_1,-1,30.625,ED,29.75,0.021008403361344574,-0.027310924369747802,-0.13025210084033612,,,,,
1849,1997-06-20,sweep_4,-1,30.625,ED,29.75,0.021008403361344574,-0.027310924369747802,-0.13025210084033612,,,,,
1850,1997-06-27,breakout_1,-1,29.625,ED,29.125,-0.012875536480686733,-0.051502145922746712,-0.16523605150214582,,,,,
1851,1997-07-04,sweep_1,-1,29.75,ED,29.5,-0.023305084745762761,-0.061440677966101642,-0.16101694915254239,,,,,
1852,1997-07-11,breakout_1,1,29.9375,ED,30.1875,0.012422360248447228,0.033126293995859202,0.1262939958592133,,,,,
1853,1997-07-18,breakout_1,1,30.5,ED,30.5625,0.002044989775051187,0.014314928425357865,0.11247443762781195,,,,,
1853,1997-07-18,fvg_disp,1,,ED,30.5625,0.002044989775051187,0.014314928425357865,0.11247443762781195,29.9375,30.1875,30.0625,0.0081799591002044997,1
1853,1997-07-18,fvg_raw,1,,ED,30.5625,0.002044989775051187,0.014314928425357865,0.11247443762781195,29.9375,30.1875,30.0625,0.0081799591002044997,1
1853,1997-07-18,sweep_13,-1,30.75,ED,30.5625,-0.002044989775051187,-0.014314928425357865,-0.11247443762781195,,,,,
1853,1997-07-18,sweep_4,-1,30.75,ED,30.5625,-0.002044989775051187,-0.014314928425357865,-0.11247443762781195,,,,,
1855,1997-08-01,breakout_1,1,30.8125,ED,31.3125,-0.0039920159680638667,-0.021956087824351322,0.093812375249501034,,,,,
1855,1997-08-01,breakout_13,1,30.9375,ED,31.3125,-0.0039920159680638667,-0.021956087824351322,0.093812375249501034,,,,,
1855,1997-08-01,breakout_4,1,30.9375,ED,31.3125,-0.0039920159680638667,-0.021956087824351322,0.093812375249501034,,,,,
1856,1997-08-08,fvg_disp,1,,ED,31.1875,-0.0060120240480961984,0.020040080160320661,0.11022044088176353,30.8125,31.125,30.96875,0.01002004008016032,1
1856,1997-08-08,fvg_raw,1,,ED,31.1875,-0.0060120240480961984,0.020040080160320661,0.11022044088176353,30.8125,31.125,30.96875,0.01002004008016032,1
1856,1997-08-08,sweep_1,-1,31.8125,ED,31.1875,0.0060120240480961984,-0.020040080160320661,-0.11022044088176353,,,,,
1856,1997-08-08,sweep_13,-1,31.8125,ED,31.1875,0.0060120240480961984,-0.020040080160320661,-0.11022044088176353,,,,,
1856,1997-08-08,sweep_4,-1,31.8125,ED,31.1875,0.0060120240480961984,-0.020040080160320661,-0.11022044088176353,,,,,
1857,1997-08-15,breakout_1,-1,31.125,ED,31,-0.0040322580645162365,-0.068548387096774244,-0.16129032258064524,,,,,
1858,1997-08-22,sweep_4,1,30.4375,ED,31.125,-0.016064257028112428,0.08032128514056236,0.1987951807228916,,,,,
1860,1997-09-05,breakout_1,1,31.1875,ED,31.8125,0.041257367387033339,0.076620825147347693,0.17681728880157177,,,,,
