asset,rule,direction,horizon,period,formed,n,mean,median,sd,q25,q75,positive,baseline,excess,ci_low,ci_high
NQ_YAHOO,fvg_disp,1,1,late,48,48,0.004910924527,0.00651712961,0.02261723088,-0.009520497305,0.01868441894,0.5833333333,0.004107308381,0.0008036161459,,
NQ_YAHOO,sweep_fvg,1,1,late,20,20,0.001680281636,-0.001129911745,0.02376110423,-0.01190448908,0.01663566976,0.5,0.004173094269,-0.002492812633,,
NQ_YAHOO,sweep_52,-1,1,late,44,44,-0.006340405834,-0.01336904008,0.03110520735,-0.02296716247,0.01025452403,0.2954545455,-0.004088279405,-0.002252126428,,
NQ_YAHOO,breakout_52,1,1,late,73,73,-0.0001272021705,0.0009889640601,0.02118965337,-0.01509853783,0.01458529154,0.5068493151,0.004154415337,-0.004281617507,,
NQ_YAHOO,breakout_52,-1,1,late,6,6,-0.01222429223,0.00308847109,0.05160988555,-0.04439120966,0.02152984992,0.5,-0.003957795,-0.008266497225,,
NQ_YAHOO,sweep_52,1,1,late,7,7,0.008308546746,0.005753326142,0.03427107536,-0.01436760348,0.02132823683,0.5714285714,0.004367888846,0.0039406579,,
NQ_YAHOO,breakout_1,-1,4,all,210,193,-0.01350996473,-0.01423728814,0.07366410665,-0.0543328593,0.01965910279,0.3730569948,-0.007972228166,-0.005537736568,,
NQ_YAHOO,fvg_raw,-1,4,all,90,81,-0.005508566177,-0.01002087683,0.07501754317,-0.0502346122,0.03248203828,0.4320987654,-0.008559499938,0.00305093376,,
NQ_YAHOO,breakout_1,1,4,all,412,391,0.006250257325,0.01402091255,0.05054173302,-0.01360903851,0.03737398972,0.6445012788,0.01019437629,-0.003944118963,,
NQ_YAHOO,sweep_4,1,4,all,144,135,0.01198043597,0.02378686965,0.07038597629,-0.01931051194,0.05154233876,0.6518518519,0.008356435098,0.003624000873,,
NQ_YAHOO,breakout_4,-1,4,all,117,105,-0.01677661305,-0.02813965607,0.06993517978,-0.05491105955,0.03248203828,0.4,-0.008491675879,-0.008284937172,,
NQ_YAHOO,sweep_1,1,4,all,210,195,0.0118760865,0.01817443537,0.06075110103,-0.01901680342,0.04718286738,0.6256410256,0.009452432991,0.00242365351,-0.004543716816,0.009916394359
NQ_YAHOO,sweep_1,-1,4,all,230,217,-0.01004212458,-0.01726070388,0.05538390048,-0.04297123229,0.02591546552,0.3456221198,-0.008459615651,-0.001582508928,-0.008303074577,0.005351148126
NQ_YAHOO,sweep_13,1,4,all,59,54,0.001957414064,0.007641833917,0.09361569879,-0.04662976315,0.06841973222,0.5,0.007234151789,-0.005276737725,,
NQ_YAHOO,sweep_4,-1,4,all,219,209,-0.007377871893,-0.01726070388,0.05242623664,-0.03957253201,0.02317639814,0.3157894737,-0.009696656706,0.002318784813,,
NQ_YAHOO,fvg_disp,-1,4,all,59,55,-0.01136852349,-0.008393139521,0.07334301978,-0.05461805655,0.02295444916,0.4545454545,-0.008594138083,-0.002774385403,-0.02066305599,0.011053228
NQ_YAHOO,sweep_fvg,-1,4,all,24,21,-0.0180327251,-0.02578244835,0.06737721981,-0.07358529499,0.02036492054,0.380952381,-0.008937152501,-0.009095572597,-0.04419663999,0.02137523549
NQ_YAHOO,breakout_13,-1,4,all,48,42,-0.02207996084,-0.0288886104,0.07079999278,-0.07854578735,0.03182175815,0.380952381,-0.008101883835,-0.013978077,,
NQ_YAHOO,breakout_4,1,4,all,305,294,0.006338252238,0.01243057585,0.04548416237,-0.01675337958,0.03325942059,0.6224489796,0.01088591213,-0.004547659893,,
NQ_YAHOO,fvg_raw,1,4,all,214,200,0.009441261442,0.01494145614,0.04398723236,-0.008714382186,0.03824585928,0.685,0.01098164424,-0.001540382801,,
NQ_YAHOO,sweep_13,-1,4,all,146,142,-0.008078419948,-0.01684578919,0.04608159598,-0.03591697518,0.02078098477,0.3169014085,-0.01128550095,0.003207081002,,
NQ_YAHOO,breakout_13,1,4,all,208,204,0.004574332008,0.0107831923,0.04145083473,-0.01716814339,0.03220645222,0.6225490196,0.01214646991,-0.007572137897,,
NQ_YAHOO,fvg_disp,1,4,all,123,118,0.007339988902,0.01275485596,0.04440262318,-0.00903177617,0.03588371477,0.6779661017,0.01183368361,-0.004493694712,-0.01228127735,0.002543969925
NQ_YAHOO,sweep_fvg,1,4,all,51,49,0.007118741757,0.01148499746,0.04336577986,-0.01679973387,0.0343456699,0.6326530612,0.01160316599,-0.004484424234,-0.01785144583,0.008274165811
NQ_YAHOO,sweep_52,-1,4,all,104,102,-0.007574585713,-0.01475102843,0.04376367426,-0.03259606153,0.01396632445,0.3039215686,-0.01284906827,0.005274482553,,
NQ_YAHOO,breakout_52,1,4,all,149,148,0.003587264795,0.009800867676,0.04142407661,-0.01203842098,0.02982119255,0.6216216216,0.01371629336,-0.01012902857,,
NQ_YAHOO,breakout_52,-1,4,all,8,8,-0.03270844677,-0.03210618428,0.05387421011,-0.08027434374,0.0119406402,0.375,-0.01147115564,-0.02123729113,,
NQ_YAHOO,sweep_52,1,4,all,8,8,0.07362447279,0.08235656506,0.08192491452,0.04825020383,0.1045218837,0.75,0.0147220958,0.05890237699,,
NQ_YAHOO,breakout_1,-1,4,early,148,131,-0.01278814935,-0.01375119923,0.07580325724,-0.05154755763,0.01790173001,0.358778626,-0.004179276502,-0.008608872844,,
NQ_YAHOO,fvg_raw,-1,4,early,63,54,-0.005986929821,-0.01075429647,0.07287441008,-0.04593581859,0.02503567002,0.4074074074,-0.004826440248,-0.001160489573,,
NQ_YAHOO,breakout_1,1,4,early,269,249,0.003249325582,0.01195885263,0.04999270628,-0.01374263787,0.03277505053,0.6345381526,0.006924013793,-0.003674688212,,
NQ_YAHOO,sweep_4,1,4,early,101,92,0.004432228817,0.02056273255,0.07035520529,-0.02167996467,0.04973060052,0.652173913,0.004842895693,-0.0004106668756,,
NQ_YAHOO,breakout_4,-1,4,early,83,71,-0.01451885846,-0.0173366969,0.06678166035,-0.04789029183,0.02787471358,0.3943661972,-0.00491173044,-0.009607128022,,
NQ_YAHOO,sweep_1,1,4,early,145,132,0.007396924078,0.01722394529,0.06075472721,-0.02032410976,0.04357974113,0.6136363636,0.006305934316,0.001090989762,,
NQ_YAHOO,sweep_1,-1,4,early,166,153,-0.007534789243,-0.01544589081,0.0509707572,-0.03790474086,0.0249651325,0.3464052288,-0.005271705221,-0.002263084022,,
NQ_YAHOO,sweep_13,1,4,early,41,36,-0.01056644719,0.01751707905,0.09723114607,-0.05974069862,0.05806607664,0.5277777778,0.002934064115,-0.01350051131,,
NQ_YAHOO,sweep_4,-1,4,early,147,138,-0.004483019453,-0.01551190441,0.04991764746,-0.03540625274,0.02550428524,0.3260869565,-0.006373252044,0.001890232591,,
NQ_YAHOO,fvg_disp,-1,4,early,41,37,-0.01163430292,-0.008393139521,0.07114762756,-0.06915822564,0.02264150943,0.4324324324,-0.005031021452,-0.006603281469,,
NQ_YAHOO,sweep_fvg,-1,4,early,17,14,-0.02745346483,-0.02313801981,0.05307067337,-0.07247852765,0.01702560054,0.3571428571,-0.005583390701,-0.02187007413,,
NQ_YAHOO,breakout_13,-1,4,early,32,26,-0.01893455327,-0.0288886104,0.06066935727,-0.05818678335,0.01919294478,0.3076923077,-0.003487220215,-0.01544733306,,
NQ_YAHOO,breakout_4,1,4,early,189,179,0.004518941721,0.009542518717,0.04069343151,-0.01360674306,0.0299394148,0.6033519553,0.007676633575,-0.003157691854,,
NQ_YAHOO,fvg_raw,1,4,early,142,129,0.008646967646,0.01248214947,0.03925602523,-0.008880450759,0.03224524929,0.6821705426,0.008171105042,0.0004758626045,,
NQ_YAHOO,sweep_13,-1,4,early,92,88,-0.006015473362,-0.01380205685,0.03781182477,-0.03296920929,0.02243711883,0.3295454545,-0.008215513869,0.002200040507,,
NQ_YAHOO,breakout_13,1,4,early,123,119,0.002731444722,0.008088235294,0.03357572383,-0.01466775485,0.02865874075,0.6050420168,0.009419030393,-0.006687585671,,
NQ_YAHOO,fvg_disp,1,4,early,75,71,0.003444408333,0.009537120776,0.03665937614,-0.01294097592,0.02697836644,0.676056338,0.008941692008,-0.005497283676,,
NQ_YAHOO,sweep_fvg,1,4,early,31,30,0.003557901047,0.0116229509,0.040342655,-0.01481991309,0.02416868176,0.6666666667,0.008762582605,-0.005204681559,,
NQ_YAHOO,sweep_52,-1,4,early,60,58,-0.008471358281,-0.01272445281,0.03083905414,-0.02921947145,0.003956604479,0.275862069,-0.01028170386,0.001810345579,,
NQ_YAHOO,breakout_52,1,4,early,76,75,0.001618227384,0.00487379641,0.02818579678,-0.01069810027,0.02048119086,0.6,0.01148760424,-0.009869376853,,
NQ_YAHOO,breakout_52,-1,4,early,2,2,-0.04946252773,-0.04946252773,0.04981601157,-0.06707514753,-0.03184990793,0,0.001229163379,-0.05069169111,,
NQ_YAHOO,sweep_52,1,4,early,1,1,0.08648985959,0.08648985959,,0.08648985959,0.08648985959,1,0.01239594478,0.07409391481,,
NQ_YAHOO,breakout_1,-1,4,late,61,61,-0.0161430662,-0.02248050464,0.06952412492,-0.07187617664,0.0250648796,0.393442623,-0.01631601918,0.0001729529741,,
NQ_YAHOO,fvg_raw,-1,4,late,27,27,-0.004551838889,-0.00145246838,0.08055276597,-0.05291907006,0.04485844546,0.4814814815,-0.01639527783,0.01184343894,,
NQ_YAHOO,breakout_1,1,4,late,143,142,0.01151245454,0.01964215869,0.05124329669,-0.01298590232,0.04280769836,0.661971831,0.01688653793,-0.005374083391,,
NQ_YAHOO,sweep_4,1,4,late,42,42,0.02890474027,0.03685546209,0.06912055615,-0.01669591323,0.05851327537,0.6666666667,0.01674061909,0.01216412118,,
NQ_YAHOO,breakout_4,-1,4,late,33,33,-0.02373505541,-0.03908812064,0.07699537161,-0.07853788463,0.02984091776,0.3939393939,-0.01645806715,-0.007276988266,,
NQ_YAHOO,sweep_1,1,4,late,63,61,0.02273344298,0.02248691628,0.06046382131,-0.008473893425,0.05150528082,0.6721311475,0.01662173111,0.006111711864,,
NQ_YAHOO,sweep_1,-1,4,late,63,63,-0.01721126017,-0.03287381855,0.06461126801,-0.05941079034,0.01886025984,0.3333333333,-0.01659261569,-0.0006186444788,,
NQ_YAHOO,sweep_13,1,4,late,17,17,0.02885280852,-0.001604148812,0.08500594121,-0.01902896005,0.07913240377,0.4705882353,0.01607025076,0.01278255776,,
NQ_YAHOO,sweep_4,-1,4,late,72,71,-0.0130044865,-0.02874452178,0.05693520161,-0.04587355894,0.008319083386,0.2957746479,-0.01640500575,0.003400519255,,
NQ_YAHOO,fvg_disp,-1,4,late,18,18,-0.01082219909,-0.0106779512,0.07979284906,-0.05112273072,0.03470611647,0.5,-0.01674061909,0.005918419995,,
NQ_YAHOO,sweep_fvg,-1,4,late,7,7,0.0008087543726,-0.02578244835,0.09169862594,-0.0556357213,0.06639221459,0.4285714286,-0.01748063607,0.01828939045,,
NQ_YAHOO,breakout_13,-1,4,late,15,15,-0.03250742527,-0.03938350756,0.08703072956,-0.09416787621,0.03587819889,0.4666666667,-0.01653341433,-0.01597401094,,
NQ_YAHOO,breakout_4,1,4,late,116,115,0.009170048609,0.0175187086,0.05213732925,-0.01954147067,0.04079298357,0.652173913,0.01694782384,-0.007777775235,,
NQ_YAHOO,fvg_raw,1,4,late,72,71,0.01088441496,0.01924310455,0.05176300966,-0.007567533476,0.04262535931,0.6901408451,0.01684276228,-0.005958347319,,
NQ_YAHOO,sweep_13,-1,4,late,54,54,-0.01144025883,-0.02328455411,0.05730483268,-0.04683953671,0.01677339121,0.2962962963,-0.01616505032,0.004724791491,,
